Name,Description,Price,Region,AvailabilityZone
gp2,SSD-backed General Purpose Disk,0.00016666666666666666,us-west-1,usw1-az1
gp2,SSD-backed General Purpose Disk,0.00016666666666666666,us-west-1,usw1-az3
gp2,SSD-backed General Purpose Disk,0.0001388888888888889,us-west-2,usw2-az1
gp2,SSD-backed General Purpose Disk,0.0001388888888888889,us-west-2,usw2-az2
gp2,SSD-backed General Purpose Disk,0.0001388888888888889,us-west-2,usw2-az3
gp2,SSD-backed General Purpose Disk,0.0001388888888888889,us-west-2,usw2-az4
gp3,SSD-backed General Purpose Disk,0.00014541666666666666,af-south-1,afs1-az1
gp3,SSD-backed General Purpose Disk,0.00014541666666666666,af-south-1,afs1-az2
gp3,SSD-backed General Purpose Disk,0.00014541666666666666,af-south-1,afs1-az3
gp3,SSD-backed General Purpose Disk,0.00014666666666666666,ap-east-1,ape1-az1
gp3,SSD-backed General Purpose Disk,0.00014666666666666666,ap-east-1,ape1-az2
gp3,SSD-backed General Purpose Disk,0.00014666666666666666,ap-east-1,ape1-az3
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-northeast-1,apne1-az1
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-northeast-1,apne1-az2
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-northeast-1,apne1-az4
gp3,SSD-backed General Purpose Disk,0.00012666666666666666,ap-northeast-2,apne2-az1
gp3,SSD-backed General Purpose Disk,0.00012666666666666666,ap-northeast-2,apne2-az2
gp3,SSD-backed General Purpose Disk,0.00012666666666666666,ap-northeast-2,apne2-az3
gp3,SSD-backed General Purpose Disk,0.00012666666666666666,ap-northeast-2,apne2-az4
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-northeast-3,apne3-az1
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-northeast-3,apne3-az2
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-northeast-3,apne3-az3
gp3,SSD-backed General Purpose Disk,0.00012666666666666666,ap-south-1,aps1-az1
gp3,SSD-backed General Purpose Disk,0.00012666666666666666,ap-south-1,aps1-az2
gp3,SSD-backed General Purpose Disk,0.00012666666666666666,ap-south-1,aps1-az3
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-1,apse1-az1
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-1,apse1-az2
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-1,apse1-az3
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-2,apse2-az1
