Tag,Region,OS,OSVersion,ImageId,CreationDate
seedling:cpu-ubuntu-2004,,ubuntu,20.04,us-central1-docker.pkg.dev/seedling-375900/seedlingk8s/seedling:20240613,20240613
seedling:gpu-ubuntu-2004,,ubuntu,20.04,us-central1-docker.pkg.dev/seedling-375900/seedlingk8s/seedling-gpu:20240613,20240613
seedling:custom-cpu-ubuntu-2004,,ubuntu,20.04,us-docker.pkg.dev/seed-dev-465/seedlingk8s/seedling:latest,20241031
seedling:custom-gpu-ubuntu-2004,,ubuntu,20.04,us-docker.pkg.dev/seed-dev-465/seedlingk8s/seedling-gpu:latest,20241031
