Tag,Region,OS,OSVersion,ImageId,CreationDate,BaseImageId
seedling:cpu-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cpu-v20240214-py310,20221215,
seedling:k80-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cu113-v20220701,20220701,
seedling:gpu-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cu113-v20240214-py310,20221215,
seedling:cuda118-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-gpu-v20230615-debian-11-py310,20230615,
seedling:cuda121-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-cu121-v20231105-debian-11-py310,20231105,
seedling:cpu-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-cpu-v20231105-debian-11-py310,20231105,
seedling:gpu-debian-11,,debian,11,projects/deeplearning-platform-release/global/images/common-cu121-v20231105-debian-11-py310,20231105,
seedling:custom-gpu-ubuntu-2204,,ubuntu,22.04,projects/nomadic-rig-415306/global/images/seedling-gcp-gpu-ubuntu-241030,20241030,projects/ubuntu-os-cloud/global/images/ubuntu-2204-jammy-v20240927
seedling:custom-cpu-ubuntu-2204,,ubuntu,22.04,projects/nomadic-rig-415306/global/images/seedling-gcp-cpu-ubuntu-241030,20241030,projects/ubuntu-os-cloud/global/images/ubuntu-2204-jammy-v20240927
